playerID,awardCount,homeRunsPerYear,yearsPlayed,runsAllowed,yearsRetired,totalGames,managersWins,class
citarra01,0,0.2615,3.8247,20,35.4329,21,0,FALSE
clarkbr01,0,0.0000,9.1397,273,32.5425,187,0,FALSE
connojo01,0,16.9779,0.1178,28,138.5671,7,0,FALSE
cookedu01,0,38.2965,8.4603,0,84.2466,608,13,FALSE
corbiar01,0,0.0000,7.8877,28,23.3726,37,0,FALSE
correca01,1,72.7205,4.2904,0,3.2110,546,0,FALSE
datzje01,0,0.0000,0.0685,0,33.2055,7,0,FALSE
davidcl02,0,9.9536,0.3014,0,23.2356,12,0,FALSE
davidtu01,0,0.0000,0.7178,0,1.4767,0,0,FALSE
daviege01,0,6.7592,1.9233,216,129.4658,46,0,FALSE
delahji01,0,36.9836,14.0603,5,107.6548,1186,0,FALSE
delarfr01,0,0.0000,0.0712,3,31.1973,2,0,FALSE
devinad01,0,0.0000,7.0219,200,42.4548,217,0,FALSE
dollar01,0,0.0000,3.0247,4,84.2438,7,0,FALSE
dudrajo01,0,60.8519,0.0493,0,81.2521,14,0,FALSE
encared01,0,75.9099,14.2274,0,3.2356,1916,0,FALSE
escoblu01,0,0.0000,0.0301,5,3.3726,4,0,FALSE
farmemi01,0,10.4275,0.0959,25,26.5123,7,0,FALSE
fernach01,0,37.4288,7.2137,0,59.2274,856,0,FALSE
fieldbr01,0,4.8900,2.8630,0,33.4192,58,0,FALSE
friedch01,0,0.6827,4.3945,193,6.1890,125,0,FALSE
garcimi03,0,1.4426,0.6932,16,22.5616,20,0,FALSE
gearda01,0,4.8875,5.1151,123,121.2767,69,0,FALSE
gearrco01,0,0.0000,8.4329,124,3.1918,337,0,FALSE
gliatsa01,0,5.2138,0.1918,15,92.5041,10,0,FALSE
goldmjo01,0,11.9258,2.7671,0,91.5014,150,0,FALSE
grayje02,0,0.0000,3.9671,82,10.2849,115,0,FALSE
greento02,0,17.7833,10.1781,0,16.1918,536,0,FALSE
gubicma01,0,0.0000,13.0219,1063,25.6712,384,0,FALSE
halamjo01,0,0.2441,8.1945,531,16.5014,262,0,FALSE
hernaen01,0,32.8105,7.3452,0,44.3288,714,0,FALSE
hertzst01,0,15.5280,0.1288,0,58.5370,5,0,FALSE
hinridu01,0,0.0000,0.0356,7,112.4904,3,0,FALSE
hochelu01,0,0.0000,8.8822,550,6.3726,280,0,FALSE
hofmafr01,0,10.8756,9.0110,0,94.2548,378,0,FALSE
hughedu01,0,0.0000,1.7205,51,11.5370,80,0,FALSE
hulenbi01,0,32.0407,3.0274,0,123.6521,107,0,FALSE
humeto01,1,0.7721,10.3616,521,35.2027,544,0,FALSE
irelaha01,0,35.1803,0.4548,0,108.2411,67,0,FALSE
jelinfr01,0,0.0000,0.0521,0,81.2521,4,0,FALSE
johnsra02,0,0.0000,0.0685,10,81.6247,7,0,FALSE
jungeer01,0,0.0000,0.6630,6,19.5863,10,0,FALSE
kingmha01,0,0.0000,0.1370,0,108.3699,4,0,FALSE
komater01,0,39.6825,0.1260,0,10.5479,30,0,FALSE
kubinti01,0,0.0000,2.2137,17,23.1945,25,0,FALSE
kuhnbu01,0,0.0000,0.0000,3,98.3288,1,0,FALSE
kurodhi01,0,1.0803,6.4795,564,8.2027,212,0,FALSE
landera01,0,18.8770,7.0986,0,38.2082,596,0,FALSE
landrbi01,0,0.2958,6.7616,151,29.5288,268,0,FALSE
lauerer01,0,1.4011,1.4274,143,3.1945,53,0,FALSE
laytole01,0,31.5457,0.4438,0,74.2247,63,0,FALSE
letchch01,0,4.5447,7.0411,0,76.2384,136,0,FALSE
lumleha01,0,49.1916,6.0986,0,112.6274,730,155,FALSE
lysanri01,0,0.0000,5.4740,142,37.2055,137,0,FALSE
manguge01,0,23.5571,0.0849,0,110.2849,10,0,FALSE
mccreed01,0,0.0000,0.0301,5,108.3507,3,0,FALSE
mcenawi01,0,0.0000,5.2384,165,43.2219,269,0,FALSE
mchugco01,0,0.1424,7.0219,370,3.2712,210,0,FALSE
meyerch01,4,32.5598,8.4767,0,105.2438,992,0,FALSE
mierked01,0,1.2943,4.6356,0,72.6822,35,0,FALSE
millela01,0,0.0000,2.2411,83,56.2575,48,0,FALSE
mohrdu01,0,34.6399,5.8603,0,15.4247,504,0,FALSE
muellle01,0,1.2167,4.1096,72,77.2548,30,0,FALSE
murphco02,0,2.8969,1.0356,0,128.2685,7,0,FALSE
newmajo01,0,0.0000,0.9425,19,14.3014,14,0,FALSE
nielssc01,0,0.0000,2.9397,94,33.5014,38,0,FALSE
nolteer01,0,0.5214,3.8356,70,31.5370,26,0,FALSE
peguefr01,0,9.1249,1.0959,0,9.1918,35,0,FALSE
peplope01,0,181.8182,0.0055,0,109.5205,2,0,FALSE
petribi01,0,0.0000,0.0795,8,15.3753,8,0,FALSE
poredaa01,0,0.0000,5.0795,18,8.4137,40,0,FALSE
puntoni01,0,32.2420,13.0575,0,8.1973,1163,0,FALSE
ransoco01,0,9.2542,11.9945,0,9.2712,383,0,FALSE
rauchbo01,0,0.0000,0.2603,16,50.2110,19,0,FALSE
reckean01,0,9.7263,5.6548,2,5.6356,206,0,FALSE
rhoderi01,3,3.8041,15.2466,1143,33.2082,427,0,TRUE
riskeda01,0,0.0000,11.0110,215,12.3178,462,0,FALSE
rittere01,0,0.0000,1.3781,31,35.2027,19,0,FALSE
riverji01,0,53.1387,9.4658,0,61.2247,1171,0,FALSE
rogaljo01,0,0.0000,0.0247,4,84.2603,2,0,FALSE
roonefr01,0,7.4516,0.1342,0,108.5753,12,0,FALSE
saenzol01,0,16.9384,13.3425,0,15.2027,733,0,FALSE
santajo01,7,0.8885,12.3808,773,10.3096,360,0,TRUE
schored01,0,2.4331,0.4110,5,107.2767,2,0,FALSE
schrest01,0,0.0000,1.0384,44,22.4055,52,0,FALSE
seligbu99,0,0.0000,0.0000,0,0.0000,0,0,TRUE
shetzjo01,0,53.1786,0.4137,0,140.2767,74,0,FALSE
simsgr01,0,10.7296,0.0932,0,56.5890,7,0,FALSE
skalsjo01,0,0.0000,0.0110,6,33.6685,2,0,FALSE
skopejo01,0,1.6801,2.3808,61,119.3178,15,0,FALSE
slusajo01,0,0.0980,10.2027,189,21.4740,118,0,FALSE
smithjo05,0,0.0000,12.5041,248,3.1890,782,0,FALSE
smithkl01,0,0.0000,0.0192,0,110.2438,7,0,FALSE
spradje01,0,0.0000,7.2493,211,22.2000,310,0,FALSE
stantto01,0,0.0000,0.0000,0,118.7123,1,0,FALSE
suarean01,0,0.6822,1.4658,108,3.1918,50,0,FALSE
swiglad01,0,0.0000,0.0000,4,105.2685,1,0,FALSE
tietjle01,0,2.4172,4.9644,323,84.3123,108,0,FALSE
triangu01,0,32.3060,12.0411,0,57.3479,1206,0,FALSE
trillma01,9,37.6004,15.9041,0,33.5699,1780,0,TRUE
uribejo01,0,33.8841,9.0603,0,29.1945,1038,0,FALSE
vancaal01,0,11.6291,3.7836,0,90.5151,140,0,FALSE
vanzadi01,0,33.2226,0.0301,0,134.2301,10,0,FALSE
vernojo01,0,0.0000,1.8192,10,108.6356,2,0,FALSE
vonhobr01,0,0.0000,2.0082,32,55.2192,13,0,FALSE
wadela01,0,39.2465,0.2548,0,3.1890,26,0,FALSE
wahlke01,0,8.1643,7.1041,0,71.4055,231,0,FALSE
wallada01,0,0.0000,4.8384,19,44.5808,13,0,FALSE
wanerll01,4,65.1167,18.4438,0,77.2740,1993,0,TRUE
williju01,0,52.1376,0.0959,0,140.3918,10,0,FALSE
wilsoed01,0,30.4165,1.2822,0,85.2356,88,0,FALSE
worleva01,0,0.8352,7.1836,333,5.1945,168,0,FALSE
wrighru01,0,50.5200,8.4521,0,94.2493,929,0,FALSE
zabelzi01,0,2.0165,1.9836,125,107.2603,67,0,FALSE
zimmeed01,0,6.2827,4.9342,0,111.3315,127,0,FALSE
birasst01,0,0.0000,0.0301,0,78.2466,2,0,FALSE
blighne01,0,3.9497,4.3041,0,132.2329,66,0,FALSE
bostoly01,0,88.0739,3.4630,0,44.2329,526,0,FALSE
buehrma01,4,0.2627,15.2274,1542,7.1781,518,0,FALSE
callaji01,0,0.0000,0.0000,0,120.6164,1,0,FALSE
canneri01,0,56.6725,1.4822,0,117.2438,254,0,FALSE
castipe01,0,30.9322,6.6274,0,68.6630,545,0,FALSE
chambal01,0,6.8867,2.1781,0,37.2219,57,0,FALSE
chaseha01,9,67.7849,14.4575,0,103.2685,1919,167,TRUE
churcbu01,0,4.1954,5.0055,367,67.6466,162,0,FALSE
clemoch01,0,0.0000,0.0603,13,25.3288,5,0,FALSE
