playerId,awardCount,homeRuns,totalGames,oba,era,slg,obp,allStar,yearsPlayed,finalGame,completeGames,zr,class
daviser01,9,282,1626,999,999,0.4824,0.35856097,2,17.3973,2001-10-07,0,0,FALSE
davisge01,0,73,2372,999,15.75,0.4050,0.36161697,0,19.3342,1909-08-15,0,0,TRUE
davisha01,0,75,1755,999,999,0.4084,0.33508360,0,21.7014,1917-05-30,0,0,FALSE
davisma01,5,1,625,0.25572222222222224,4.678888888888889,0.2395,0.19427702,2,17.0548,1997-09-28,4,0,FALSE
davissp01,0,77,1458,999,999,0.4303,0.36886111,0,17.3616,1945-09-05,0,0,FALSE
davisto02,3,153,1999,999,999,0.4045,0.32892002,3,17.0411,1976-10-02,0,0,FALSE
dawsoan01,20,438,2627,999,999,0.4822,0.32331307,8,20.0630,1996-09-29,0,0,TRUE
dayle99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
deandi01,14,8,325,0.2525,3.936666666666667,0.3013,0.23521333,4,17.0110,1947-09-28,154,0,TRUE
decindo01,2,237,1649,999,999,0.4452,0.32923833,1,14.0767,1987-10-04,0,0,FALSE
delahed01,0,101,1859,999,999,0.5052,0.41133477,0,15.0986,1903-06-25,0,0,TRUE
delgaca01,8,473,2035,999,999,0.5459,0.38338917,2,15.6164,2009-05-10,0,0,FALSE
dempsri01,2,96,1766,0.333,4.5,0.3470,0.31867515,0,23.0274,1992-09-27,0,0,FALSE
dennyje01,0,74,1244,999,9,0.3837,0.28849138,0,13.1973,1894-07-10,0,0,FALSE
dennyjo01,3,0,326,0.25685714285714295,3.4450000000000003,0.1930,0.19730104,0,11.9397,1986-08-18,62,0,FALSE
dentbu01,2,40,1392,999,999,0.3211,0.29710440,3,11.2877,1984-09-11,0,0,FALSE
derripa01,9,2,579,0.27375,3.5312500000000004,0.2079,0.18622848,4,14.4603,1945-09-27,251,0,FALSE
deshaji01,0,0,258,0.2794615384615385,5.667692307692308,0.0885,0.14141457,0,10.9836,1995-07-30,15,0,FALSE
dickebi01,20,202,1789,999,999,0.4860,0.38208017,8,18.0767,1946-09-08,0,0,TRUE
dierkla01,0,4,357,0.24392857142857144,3.3692857142857138,0.1686,0.14888321,1,13.0329,1977-10-01,106,0,FALSE
dihigma99,0,0,0,999,999,0.0000,0.00000000,0,0.0000,2022-12-06,0,0,TRUE
dimagdo01,2,87,1399,999,999,0.4190,0.38327366,6,13.0712,1953-05-09,0,0,FALSE
dimagjo01,36,361,1736,999,999,0.5788,0.39832835,11,15.4192,1951-09-30,0,0,TRUE
